a
à
abaissa
abaissable
abaissables
abaissai
abaissaient
abaissais
abaissait
abaissâmes
abaissant
abaissante
abaissantes
abaissants
abaissas
abaissasse
abaissassent
abaissasses
abaissassiez
abaissassions
abaissât
abaissâtes
abaisse
abaissé
abaissée
abaissées
abaisse-langue
abaissement
abaissements
abaissent
abaisser
abaissera
abaisserai
abaisseraient
abaisserais
abaisserait
abaisseras
abaissèrent
abaisserez
abaisseriez
abaisserions
abaisserons
abaisseront
abaisses
abaissés
abaisseur
abaisseurs
abaissez
abaissiez
abaissions
abaissons
abajoue
abajoues
abandon
abandonna
abandonnai
abandonnaient
abandonnais
abandonnait
abandonnâmes
abandonnant
abandonnas
abandonnasse
abandonnassent
abandonnasses
abandonnassiez
abandonnassions
abandonnât
abandonnataire
abandonnataires
abandonnâtes
abandonne
abandonné
abandonnée
abandonnées
abandonnent
abandonner
abandonnera
abandonnerai
abandonneraient
abandonnerais
abandonnerait
abandonneras
abandonnèrent
abandonnerez
abandonneriez
abandonnerions
abandonnerons
abandonneront
abandonnes
abandonnés
abandonnez
abandonniez
abandonnions
abandonnons
abandons
abaque
abaques
abasourdi
abasourdie
abasourdies
abasourdîmes
abasourdir
abasourdira
abasourdirai
abasourdiraient
abasourdirais
abasourdirait
abasourdiras
abasourdirent
abasourdirez
abasourdiriez
abasourdirions
abasourdirons
abasourdiront
abasourdis
abasourdissaient
abasourdissais
abasourdissait
abasourdissant
abasourdissante
abasourdissantes
abasourdissants
abasourdisse
abasourdissement
abasourdissements
abasourdissent
abasourdisses
abasourdissez
abasourdissiez
abasourdissions
abasourdissons
abasourdit
abasourdît
abasourdîtes
abat
abatage
abatages
abâtardi
abâtardie
abâtardies
abâtardîmes
abâtardir
abâtardira
abâtardirai
abâtardiraient
abâtardirais
abâtardirait
abâtardiras
abâtardirent
abâtardirez
abâtardiriez
abâtardirions
abâtardirons
abâtardiront
abâtardis
abâtardissaient
abâtardissais
abâtardissait
abâtardissant
abâtardisse
abâtardissement
abâtardissements
abâtardissent
abâtardisses
abâtardissez
abâtardissiez
abâtardissions
abâtardissons
abâtardit
abâtardît
abâtardîtes
abatée
abatées
abat-jour
abats
abattage
abattages
abattaient
abattais
abattait
abattant
abattante
abattantes
abattants
abatte
abattée
abattées
abattement
abattements
abattent
abattes
abatteur
abatteurs
abattez
abattiez
abattîmes
abattions
abattirent
abattis
abattisse
abattissent
abattisses
abattissiez
abattissions
abattit
abattît
abattîtes
abattoir
abattoirs
abattons
abattra
abattrai
abattraient
abattrais
abattrait
abattras
abattre
abattrez
abattriez
abattrions
abattrons
abattront
abattu
abattue
abattues
abattus
abat-vent
abat-voix
abbatial
abbatiale
abbatiales
abbatiaux
abbaye
abbayes
abbé
abbés
